Country,Admin1,SubDiv,Year,List,Cause,Sex,Frmat,IM_Frmat,Deaths1,Deaths2,Deaths3,Deaths4,Deaths5,Deaths6,Deaths7,Deaths8,Deaths9,Deaths10,Deaths11,Deaths12,Deaths13,Deaths14,Deaths15,Deaths16,Deaths17,Deaths18,Deaths19,Deaths20,Deaths21,Deaths22,Deaths23,Deaths24,Deaths25,Deaths26,IM_Deaths1,IM_Deaths2,IM_Deaths3,IM_Deaths4
4260,,,1998,103,Q62,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1430,,,2003,103,W10,1,0,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1125,,,2001,103,K66,1,2,8,2,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,
1430,,,2003,103,R89,1,0,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
4084,,,2000,103,P61,2,1,8,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,,,
3325,,,2002,103,C53,2,0,2,1009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,17.0,41.0,82.0,87.0,85.0,95.0,126.0,108.0,140.0,128.0,58.0,29.0,2.0,0.0,0.0,0.0,,0.0,0.0
3020,,,2001,103,I87,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4273,,,2001,103,D45,1,0,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4186,,,1998,103,K50,2,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0
4274,,,1994,103,I10,1,1,8,345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,9.0,18.0,24.0,28.0,42.0,42.0,64.0,32.0,46.0,36.0,,,0.0,0.0,,,
1400,,,2003,101,1093,1,7,8,4,2.0,1.0,,,,0.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,0.0,2.0,,,
4260,,,1998,103,A04,1,1,1,4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,4.0
4020,,,1999,103,E85,1,0,1,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,3.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1430,,,2002,103,I61,1,0,8,1065,0.0,1.0,1.0,2.0,0.0,6.0,10.0,22.0,48.0,61.0,54.0,70.0,90.0,122.0,112.0,98.0,101.0,78.0,58.0,65.0,37.0,18.0,6.0,2.0,3.0,0.0,,,
4207,,,2002,103,N18,2,2,8,33,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,10.0,6.0,6.0,2.0,2.0,,,0.0,0.0,,,
1430,,,2004,103,B54,1,0,8,302,0.0,1.0,6.0,2.0,0.0,8.0,5.0,4.0,16.0,24.0,36.0,33.0,34.0,37.0,22.0,19.0,16.0,11.0,5.0,7.0,9.0,5.0,1.0,1.0,0.0,0.0,,,
4186,,,2004,103,B19,2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
4020,,,1998,103,C57,2,0,1,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,2.0,4.0,4.0,5.0,9.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
3236,,,2004,103,Q32,1,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0
1430,,,2000,103,O12,2,0,8,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
4260,,,1997,103,X03,2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1400,,,2003,101,1094,2,7,8,18,1.0,0.0,,,,0.0,,0.0,,0.0,,1.0,,0.0,,1.0,,2.0,,13.0,,,,,0.0,1.0,,,
1430,,,2001,103,V95,2,0,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
4055,,,1999,103,A48,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1125,,,2002,103,R29,2,2,8,1,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,
1125,,,2004,103,P91,2,2,8,10,9.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,9.0,,,
1430,,,2002,103,Y35,2,0,8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,
3325,,,1999,103,J00,1,1,8,41,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,5.0,9.0,8.0,6.0,,,0.0,3.0,,,
4055,,,2002,103,C80,2,1,1,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,6.0,3.0,4.0,3.0,,,0.0,0.0,0.0,0.0,0.0
4274,,,1995,103,D70,1,1,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,
1430,,,2003,103,G10,2,0,8,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1430,,,2003,103,C91,1,0,8,100,2.0,0.0,1.0,2.0,1.0,4.0,4.0,11.0,2.0,3.0,6.0,4.0,3.0,1.0,3.0,13.0,11.0,4.0,7.0,8.0,6.0,4.0,0.0,0.0,0.0,2.0,,,
4055,,,1998,103,C17,1,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
3365,,,2003,101,1067,1,1,8,5604,10.0,5.0,0.0,0.0,1.0,3.0,2.0,6.0,16.0,25.0,50.0,133.0,251.0,378.0,584.0,642.0,692.0,778.0,781.0,563.0,404.0,280.0,,,0.0,10.0,,,
4084,,,1998,103,P10,1,1,8,41,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,41.0,,,
4260,,,2000,103,C61,1,1,1,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,6.0,14.0,20.0,14.0,20.0,6.0,1.0,,,0.0,0.0,0.0,0.0,0.0
4274,,,1995,103,N03,2,1,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,
3325,,,2001,103,W36,1,0,2,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0
4260,,,2000,103,Y26,1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
4055,,,2000,103,C34,1,1,1,565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,19.0,36.0,54.0,106.0,138.0,128.0,53.0,15.0,7.0,,,0.0,0.0,0.0,0.0,0.0
1430,,,2001,103,Q43,1,0,8,20,14.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,,,
3325,,,1998,103,X59,1,0,8,991,10.0,5.0,4.0,3.0,2.0,6.0,10.0,31.0,52.0,69.0,80.0,96.0,103.0,114.0,77.0,95.0,90.0,50.0,36.0,32.0,16.0,9.0,1.0,0.0,0.0,10.0,,,
3325,,,2003,103,W87,1,0,2,112,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,9.0,24.0,16.0,17.0,9.0,11.0,6.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
1125,,,2003,103,I62,2,2,8,38,2.0,4.0,,,,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,3.0,4.0,3.0,3.0,6.0,2.0,,,0.0,2.0,,,
1430,,,1997,103,B15,1,0,8,14,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,
4273,,,1999,103,K90,2,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4273,,,1999,103,N13,2,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4188,,,2000,103,Y21,1,0,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3325,,,2002,103,Q39,2,0,2,8,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,2.0,0.0
1430,,,2001,103,I25,9,0,8,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,
4084,,,2001,103,V99,2,1,8,31,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,2.0,3.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,2.0,3.0,4.0,3.0,,,0.0,0.0,,,
2045,,,1997,104,X999,2,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2060,,,2000,104,J209,2,0,8,7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,,,
